Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name
1/3/15,AQS,60370002,1,16,ug/m3 LC,59,Azusa
1/6/15,AQS,60370002,1,2.8,ug/m3 LC,12,Azusa
1/9/15,AQS,60370002,1,21.1,ug/m3 LC,70,Azusa
1/12/15,AQS,60370002,1,19,ug/m3 LC,66,Azusa
1/15/15,AQS,60370002,1,2.7,ug/m3 LC,11,Azusa
1/18/15,AQS,60370002,1,9.6,ug/m3 LC,40,Azusa
1/21/15,AQS,60370002,1,28,ug/m3 LC,84,Azusa
1/24/15,AQS,60370002,1,5.1,ug/m3 LC,21,Azusa
1/27/15,AQS,60370002,1,6.6,ug/m3 LC,28,Azusa
1/30/15,AQS,60370002,1,4.2,ug/m3 LC,18,Azusa
2/2/15,AQS,60370002,1,9.3,ug/m3 LC,39,Azusa
2/5/15,AQS,60370002,1,44.3,ug/m3 LC,123,Azusa
2/8/15,AQS,60370002,1,1.1,ug/m3 LC,5,Azusa
2/11/15,AQS,60370002,1,2.8,ug/m3 LC,12,Azusa
2/14/15,AQS,60370002,1,4.8,ug/m3 LC,20,Azusa
2/17/15,AQS,60370002,1,23.4,ug/m3 LC,75,Azusa
2/20/15,AQS,60370002,1,30,ug/m3 LC,89,Azusa
2/23/15,AQS,60370002,1,1,ug/m3 LC,4,Azusa
2/26/15,AQS,60370002,1,10.7,ug/m3 LC,45,Azusa
3/1/15,AQS,60370002,1,2,ug/m3 LC,8,Azusa
3/4/15,AQS,60370002,1,4.5,ug/m3 LC,19,Azusa
3/12/15,AQS,60370002,1,4.1,ug/m3 LC,17,Azusa
3/13/15,AQS,60370002,1,4.5,ug/m3 LC,19,Azusa
3/16/15,AQS,60370002,1,6.7,ug/m3 LC,28,Azusa
3/19/15,AQS,60370002,1,9.3,ug/m3 LC,39,Azusa
3/22/15,AQS,60370002,1,10,ug/m3 LC,42,Azusa
3/25/15,AQS,60370002,1,5.7,ug/m3 LC,24,Azusa
3/28/15,AQS,60370002,1,10.5,ug/m3 LC,44,Azusa
3/31/15,AQS,60370002,1,17.7,ug/m3 LC,63,Azusa
4/3/15,AQS,60370002,1,6,ug/m3 LC,25,Azusa
4/6/15,AQS,60370002,1,5.4,ug/m3 LC,23,Azusa
4/9/15,AQS,60370002,1,4,ug/m3 LC,17,Azusa
4/12/15,AQS,60370002,1,8.2,ug/m3 LC,34,Azusa
4/15/15,AQS,60370002,1,10.8,ug/m3 LC,45,Azusa
4/18/15,AQS,60370002,1,9.7,ug/m3 LC,40,Azusa
4/21/15,AQS,60370002,1,10.2,ug/m3 LC,43,Azusa
4/24/15,AQS,60370002,1,7.2,ug/m3 LC,30,Azusa
4/27/15,AQS,60370002,1,8.7,ug/m3 LC,36,Azusa
4/30/15,AQS,60370002,1,10.6,ug/m3 LC,44,Azusa
5/3/15,AQS,60370002,1,13.3,ug/m3 LC,54,Azusa
5/6/15,AQS,60370002,1,9.5,ug/m3 LC,40,Azusa
5/9/15,AQS,60370002,1,11.1,ug/m3 LC,46,Azusa
5/12/15,AQS,60370002,1,10.2,ug/m3 LC,43,Azusa
5/15/15,AQS,60370002,1,3.7,ug/m3 LC,15,Azusa
5/18/15,AQS,60370002,1,7.7,ug/m3 LC,32,Azusa
5/21/15,AQS,60370002,1,7.1,ug/m3 LC,30,Azusa
5/24/15,AQS,60370002,1,9.3,ug/m3 LC,39,Azusa
5/27/15,AQS,60370002,1,10.7,ug/m3 LC,45,Azusa
5/30/15,AQS,60370002,1,16.5,ug/m3 LC,60,Azusa
6/2/15,AQS,60370002,1,8.7,ug/m3 LC,36,Azusa
6/5/15,AQS,60370002,1,7.7,ug/m3 LC,32,Azusa
6/8/15,AQS,60370002,1,14.7,ug/m3 LC,56,Azusa
6/11/15,AQS,60370002,1,9.5,ug/m3 LC,40,Azusa
6/14/15,AQS,60370002,1,11.1,ug/m3 LC,46,Azusa
6/17/15,AQS,60370002,1,16,ug/m3 LC,59,Azusa
6/20/15,AQS,60370002,1,16.3,ug/m3 LC,60,Azusa
6/23/15,AQS,60370002,1,16.6,ug/m3 LC,60,Azusa
6/26/15,AQS,60370002,1,13.5,ug/m3 LC,54,Azusa
6/29/15,AQS,60370002,1,12.5,ug/m3 LC,52,Azusa
7/2/15,AQS,60370002,1,12.2,ug/m3 LC,51,Azusa
7/5/15,AQS,60370002,1,70.3,ug/m3 LC,159,Azusa
7/8/15,AQS,60370002,1,8.8,ug/m3 LC,37,Azusa
7/11/15,AQS,60370002,1,6.2,ug/m3 LC,26,Azusa
7/14/15,AQS,60370002,1,9.8,ug/m3 LC,41,Azusa
7/17/15,AQS,60370002,1,11.7,ug/m3 LC,49,Azusa
7/20/15,AQS,60370002,1,6.7,ug/m3 LC,28,Azusa
7/23/15,AQS,60370002,1,7.1,ug/m3 LC,30,Azusa
7/26/15,AQS,60370002,1,8.8,ug/m3 LC,37,Azusa
7/29/15,AQS,60370002,1,15.5,ug/m3 LC,58,Azusa
8/1/15,AQS,60370002,1,11.2,ug/m3 LC,47,Azusa
8/4/15,AQS,60370002,1,12.9,ug/m3 LC,53,Azusa
8/7/15,AQS,60370002,1,10.5,ug/m3 LC,44,Azusa
8/10/15,AQS,60370002,1,10.8,ug/m3 LC,45,Azusa
8/13/15,AQS,60370002,1,11.2,ug/m3 LC,47,Azusa
8/16/15,AQS,60370002,1,13.3,ug/m3 LC,54,Azusa
8/19/15,AQS,60370002,1,17,ug/m3 LC,61,Azusa
8/22/15,AQS,60370002,1,17.7,ug/m3 LC,63,Azusa
8/25/15,AQS,60370002,1,15,ug/m3 LC,57,Azusa
8/28/15,AQS,60370002,1,13.6,ug/m3 LC,54,Azusa
8/31/15,AQS,60370002,1,10.7,ug/m3 LC,45,Azusa
9/3/15,AQS,60370002,1,9.3,ug/m3 LC,39,Azusa
9/6/15,AQS,60370002,1,10.3,ug/m3 LC,43,Azusa
9/9/15,AQS,60370002,1,7.8,ug/m3 LC,33,Azusa
9/12/15,AQS,60370002,1,8.9,ug/m3 LC,37,Azusa
9/15/15,AQS,60370002,1,4,ug/m3 LC,17,Azusa
9/18/15,AQS,60370002,1,9.7,ug/m3 LC,40,Azusa
9/21/15,AQS,60370002,1,10.6,ug/m3 LC,44,Azusa
9/24/15,AQS,60370002,1,17.2,ug/m3 LC,62,Azusa
9/27/15,AQS,60370002,1,9,ug/m3 LC,38,Azusa
9/30/15,AQS,60370002,1,13.3,ug/m3 LC,54,Azusa
10/3/15,AQS,60370002,1,8.2,ug/m3 LC,34,Azusa
10/6/15,AQS,60370002,1,5.6,ug/m3 LC,23,Azusa
10/9/15,AQS,60370002,1,6.2,ug/m3 LC,26,Azusa
10/12/15,AQS,60370002,1,8.8,ug/m3 LC,37,Azusa
10/15/15,AQS,60370002,1,8.5,ug/m3 LC,35,Azusa
10/18/15,AQS,60370002,1,5.6,ug/m3 LC,23,Azusa
10/21/15,AQS,60370002,1,6.2,ug/m3 LC,26,Azusa
10/24/15,AQS,60370002,1,4.8,ug/m3 LC,20,Azusa
10/27/15,AQS,60370002,1,11.4,ug/m3 LC,48,Azusa
10/30/15,AQS,60370002,1,6.3,ug/m3 LC,26,Azusa
11/2/15,AQS,60370002,1,7.4,ug/m3 LC,31,Azusa
11/5/15,AQS,60370002,1,3.7,ug/m3 LC,15,Azusa
11/8/15,AQS,60370002,1,3.4,ug/m3 LC,14,Azusa
11/11/15,AQS,60370002,1,4.6,ug/m3 LC,19,Azusa
11/14/15,AQS,60370002,1,4.5,ug/m3 LC,19,Azusa
11/17/15,AQS,60370002,1,4.9,ug/m3 LC,20,Azusa
11/20/15,AQS,60370002,1,6.8,ug/m3 LC,28,Azusa
11/23/15,AQS,60370002,1,4.6,ug/m3 LC,19,Azusa
11/26/15,AQS,60370002,1,4.2,ug/m3 LC,18,Azusa
11/29/15,AQS,60370002,1,3.4,ug/m3 LC,14,Azusa
12/2/15,AQS,60370002,1,2.9,ug/m3 LC,12,Azusa
12/5/15,AQS,60370002,1,3.5,ug/m3 LC,15,Azusa
12/8/15,AQS,60370002,1,7,ug/m3 LC,29,Azusa
12/11/15,AQS,60370002,1,3.1,ug/m3 LC,13,Azusa
12/14/15,AQS,60370002,1,3,ug/m3 LC,13,Azusa
12/17/15,AQS,60370002,1,5.5,ug/m3 LC,23,Azusa
12/20/15,AQS,60370002,1,5.1,ug/m3 LC,21,Azusa
12/23/15,AQS,60370002,1,5.1,ug/m3 LC,21,Azusa
12/26/15,AQS,60370002,1,1.7,ug/m3 LC,7,Azusa
12/29/15,AQS,60370002,1,5.9,ug/m3 LC,25,Azusa
1/1/15,AQS,60370016,3,14.2,ug/m3 LC,55,Glendora
1/2/15,AQS,60370016,3,18.3,ug/m3 LC,64,Glendora
1/3/15,AQS,60370016,3,24.1,ug/m3 LC,76,Glendora
1/4/15,AQS,60370016,3,19.8,ug/m3 LC,67,Glendora
1/5/15,AQS,60370016,3,7,ug/m3 LC,29,Glendora
1/6/15,AQS,60370016,3,4.7,ug/m3 LC,20,Glendora
1/7/15,AQS,60370016,3,5.7,ug/m3 LC,24,Glendora
1/8/15,AQS,60370016,3,15.8,ug/m3 LC,59,Glendora
1/9/15,AQS,60370016,3,26.2,ug/m3 LC,81,Glendora
1/10/15,AQS,60370016,3,22.8,ug/m3 LC,74,Glendora
1/11/15,AQS,60370016,3,19.6,ug/m3 LC,67,Glendora
1/12/15,AQS,60370016,3,18.4,ug/m3 LC,64,Glendora
1/13/15,AQS,60370016,3,24.1,ug/m3 LC,76,Glendora
1/14/15,AQS,60370016,3,10.8,ug/m3 LC,45,Glendora
1/15/15,AQS,60370016,3,6.2,ug/m3 LC,26,Glendora
1/16/15,AQS,60370016,3,6.6,ug/m3 LC,28,Glendora
1/17/15,AQS,60370016,3,7.3,ug/m3 LC,30,Glendora
1/18/15,AQS,60370016,3,11.2,ug/m3 LC,47,Glendora
1/19/15,AQS,60370016,3,24.6,ug/m3 LC,77,Glendora
1/20/15,AQS,60370016,3,44.8,ug/m3 LC,124,Glendora
1/21/15,AQS,60370016,3,34.2,ug/m3 LC,97,Glendora
1/22/15,AQS,60370016,3,9.8,ug/m3 LC,41,Glendora
1/23/15,AQS,60370016,3,6.8,ug/m3 LC,28,Glendora
1/24/15,AQS,60370016,3,4.9,ug/m3 LC,20,Glendora
1/25/15,AQS,60370016,3,8.8,ug/m3 LC,37,Glendora
1/26/15,AQS,60370016,3,9.4,ug/m3 LC,39,Glendora
1/27/15,AQS,60370016,3,9.5,ug/m3 LC,40,Glendora
1/28/15,AQS,60370016,3,8.5,ug/m3 LC,35,Glendora
1/29/15,AQS,60370016,3,7.4,ug/m3 LC,31,Glendora
1/30/15,AQS,60370016,3,6.7,ug/m3 LC,28,Glendora
