Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name
1/2/14,AQS,60370002,1,4.4,ug/m3 LC,18,Azusa
1/5/14,AQS,60370002,1,5,ug/m3 LC,21,Azusa
1/8/14,AQS,60370002,1,15.5,ug/m3 LC,58,Azusa
1/11/14,AQS,60370002,1,22.3,ug/m3 LC,72,Azusa
1/17/14,AQS,60370002,1,32.4,ug/m3 LC,94,Azusa
1/20/14,AQS,60370002,1,10.2,ug/m3 LC,43,Azusa
1/23/14,AQS,60370002,1,26.2,ug/m3 LC,81,Azusa
1/26/14,AQS,60370002,1,13.3,ug/m3 LC,54,Azusa
1/29/14,AQS,60370002,1,29.9,ug/m3 LC,88,Azusa
2/1/14,AQS,60370002,1,4,ug/m3 LC,17,Azusa
2/4/14,AQS,60370002,1,6.4,ug/m3 LC,27,Azusa
2/7/14,AQS,60370002,1,5.3,ug/m3 LC,22,Azusa
2/10/14,AQS,60370002,1,15,ug/m3 LC,57,Azusa
2/13/14,AQS,60370002,1,10.6,ug/m3 LC,44,Azusa
2/16/14,AQS,60370002,1,24.9,ug/m3 LC,78,Azusa
2/19/14,AQS,60370002,1,25.7,ug/m3 LC,80,Azusa
2/22/14,AQS,60370002,1,12.7,ug/m3 LC,52,Azusa
2/25/14,AQS,60370002,1,17.5,ug/m3 LC,62,Azusa
2/28/14,AQS,60370002,1,3.2,ug/m3 LC,13,Azusa
3/6/14,AQS,60370002,1,14.5,ug/m3 LC,56,Azusa
3/27/14,AQS,60370002,1,6.5,ug/m3 LC,27,Azusa
3/30/14,AQS,60370002,1,5.2,ug/m3 LC,22,Azusa
4/2/14,AQS,60370002,1,4.5,ug/m3 LC,19,Azusa
4/5/14,AQS,60370002,1,5.4,ug/m3 LC,23,Azusa
11/7/14,AQS,60370002,1,10.9,ug/m3 LC,45,Azusa
11/10/14,AQS,60370002,1,13.4,ug/m3 LC,54,Azusa
12/10/14,AQS,60370002,1,14.9,ug/m3 LC,57,Azusa
12/13/14,AQS,60370002,1,4.4,ug/m3 LC,18,Azusa
12/16/14,AQS,60370002,1,8.2,ug/m3 LC,34,Azusa
12/19/14,AQS,60370002,1,6.5,ug/m3 LC,27,Azusa
12/22/14,AQS,60370002,1,6.8,ug/m3 LC,28,Azusa
12/25/14,AQS,60370002,1,2.3,ug/m3 LC,10,Azusa
12/28/14,AQS,60370002,1,3.4,ug/m3 LC,14,Azusa
12/31/14,AQS,60370002,1,5,ug/m3 LC,21,Azusa
1/1/14,AQS,60370016,3,11.7,ug/m3 LC,49,Glendora
1/3/14,AQS,60370016,3,13.2,ug/m3 LC,53,Glendora
1/4/14,AQS,60370016,3,20.1,ug/m3 LC,68,Glendora
1/5/14,AQS,60370016,3,4.7,ug/m3 LC,20,Glendora
1/6/14,AQS,60370016,3,1.2,ug/m3 LC,5,Glendora
1/7/14,AQS,60370016,3,4.1,ug/m3 LC,17,Glendora
1/8/14,AQS,60370016,3,15.8,ug/m3 LC,59,Glendora
1/9/14,AQS,60370016,3,27,ug/m3 LC,82,Glendora
1/10/14,AQS,60370016,3,23.2,ug/m3 LC,74,Glendora
