Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name
1/1/13,AQS,60370002,1,5.9,ug/m3 LC,25,Azusa
1/4/13,AQS,60370002,1,3.4,ug/m3 LC,14,Azusa
1/7/13,AQS,60370002,1,5.2,ug/m3 LC,22,Azusa
1/10/13,AQS,60370002,1,5.9,ug/m3 LC,25,Azusa
1/13/13,AQS,60370002,1,4.2,ug/m3 LC,18,Azusa
1/16/13,AQS,60370002,1,4.9,ug/m3 LC,20,Azusa
1/19/13,AQS,60370002,1,1.8,ug/m3 LC,8,Azusa
1/22/13,AQS,60370002,1,3.6,ug/m3 LC,15,Azusa
1/25/13,AQS,60370002,1,7.9,ug/m3 LC,33,Azusa
1/31/13,AQS,60370002,1,6.3,ug/m3 LC,26,Azusa
2/3/13,AQS,60370002,1,3.7,ug/m3 LC,15,Azusa
2/6/13,AQS,60370002,1,29.6,ug/m3 LC,88,Azusa
2/9/13,AQS,60370002,1,4,ug/m3 LC,17,Azusa
2/12/13,AQS,60370002,1,7.4,ug/m3 LC,31,Azusa
2/15/13,AQS,60370002,1,4,ug/m3 LC,17,Azusa
2/18/13,AQS,60370002,1,15,ug/m3 LC,57,Azusa
2/21/13,AQS,60370002,1,4.5,ug/m3 LC,19,Azusa
2/24/13,AQS,60370002,1,6.4,ug/m3 LC,27,Azusa
2/27/13,AQS,60370002,1,3.6,ug/m3 LC,15,Azusa
3/2/13,AQS,60370002,1,5.2,ug/m3 LC,22,Azusa
3/5/13,AQS,60370002,1,17.6,ug/m3 LC,63,Azusa
3/8/13,AQS,60370002,1,3.3,ug/m3 LC,14,Azusa
3/11/13,AQS,60370002,1,12.9,ug/m3 LC,53,Azusa
3/14/13,AQS,60370002,1,13.4,ug/m3 LC,54,Azusa
3/17/13,AQS,60370002,1,25.8,ug/m3 LC,80,Azusa
3/20/13,AQS,60370002,1,24.7,ug/m3 LC,77,Azusa
3/23/13,AQS,60370002,1,13.8,ug/m3 LC,55,Azusa
3/26/13,AQS,60370002,1,21.4,ug/m3 LC,71,Azusa
3/29/13,AQS,60370002,1,14.7,ug/m3 LC,56,Azusa
4/1/13,AQS,60370002,1,7.2,ug/m3 LC,30,Azusa
