Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name
1/1/16,AQS,60370002,1,6,ug/m3 LC,25,Azusa
1/4/16,AQS,60370002,1,8.7,ug/m3 LC,36,Azusa
1/7/16,AQS,60370002,1,0.7,ug/m3 LC,3,Azusa
1/10/16,AQS,60370002,1,12.2,ug/m3 LC,51,Azusa
1/13/16,AQS,60370002,1,11,ug/m3 LC,46,Azusa
1/16/16,AQS,60370002,1,16,ug/m3 LC,59,Azusa
1/19/16,AQS,60370002,1,14.4,ug/m3 LC,56,Azusa
1/22/16,AQS,60370002,1,5.6,ug/m3 LC,23,Azusa
1/25/16,AQS,60370002,1,3.9,ug/m3 LC,16,Azusa
1/28/16,AQS,60370002,1,7,ug/m3 LC,29,Azusa
1/31/16,AQS,60370002,1,2.4,ug/m3 LC,10,Azusa
2/3/16,AQS,60370002,1,2.1,ug/m3 LC,9,Azusa
2/6/16,AQS,60370002,1,2,ug/m3 LC,8,Azusa
2/9/16,AQS,60370002,1,2.6,ug/m3 LC,11,Azusa
2/12/16,AQS,60370002,1,12.5,ug/m3 LC,52,Azusa
2/15/16,AQS,60370002,1,5.4,ug/m3 LC,23,Azusa
2/18/16,AQS,60370002,1,4.1,ug/m3 LC,17,Azusa
2/21/16,AQS,60370002,1,11.9,ug/m3 LC,50,Azusa
2/24/16,AQS,60370002,1,4.1,ug/m3 LC,17,Azusa
2/27/16,AQS,60370002,1,12.5,ug/m3 LC,52,Azusa
3/1/16,AQS,60370002,1,29,ug/m3 LC,87,Azusa
3/4/16,AQS,60370002,1,20.1,ug/m3 LC,68,Azusa
3/7/16,AQS,60370002,1,4.5,ug/m3 LC,19,Azusa
3/10/16,AQS,60370002,1,8,ug/m3 LC,33,Azusa
3/13/16,AQS,60370002,1,5.7,ug/m3 LC,24,Azusa
3/16/16,AQS,60370002,1,7,ug/m3 LC,29,Azusa
3/19/16,AQS,60370002,1,19.2,ug/m3 LC,66,Azusa
3/22/16,AQS,60370002,1,5.6,ug/m3 LC,23,Azusa
3/25/16,AQS,60370002,1,7.5,ug/m3 LC,31,Azusa
3/28/16,AQS,60370002,1,7.1,ug/m3 LC,30,Azusa
3/31/16,AQS,60370002,1,5.9,ug/m3 LC,25,Azusa
4/3/16,AQS,60370002,1,9.9,ug/m3 LC,41,Azusa
4/6/16,AQS,60370002,1,12.3,ug/m3 LC,51,Azusa
